,India,Hubei,Italy,US,Spain,Germany,Iran,France,"Korea, South",Malaysia,Ireland,Japan,Pakistan,Saudi Arabia,Indonesia,Taiwan*,United Arab Emirates,Qatar
1/22/20,0,444,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0
1/23/20,0,444,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0
1/24/20,0,549,0,2,0,0,0,2,2,0,0,2,0,0,0,3,0,0
1/25/20,0,761,0,2,0,0,0,3,2,3,0,2,0,0,0,3,0,0
1/26/20,0,1058,0,5,0,0,0,3,3,4,0,4,0,0,0,4,0,0
1/27/20,0,1423,0,5,0,1,0,3,4,4,0,4,0,0,0,5,0,0
1/28/20,0,3554,0,5,0,4,0,4,4,4,0,7,0,0,0,8,0,0
1/29/20,0,3554,0,5,0,4,0,5,4,7,0,7,0,0,0,8,4,0
1/30/20,1,4903,0,5,0,4,0,5,4,8,0,11,0,0,0,9,4,0
1/31/20,1,5806,2,7,0,5,0,5,11,8,0,15,0,0,0,10,4,0
2/1/20,1,7153,2,8,1,8,0,6,12,8,0,20,0,0,0,10,4,0
2/2/20,2,11177,2,8,1,10,0,6,15,8,0,20,0,0,0,10,5,0
2/3/20,3,13522,2,11,1,12,0,6,15,8,0,20,0,0,0,10,5,0
2/4/20,3,16678,2,11,1,12,0,6,16,10,0,22,0,0,0,11,5,0
2/5/20,3,19665,2,11,1,12,0,6,19,12,0,22,0,0,0,11,5,0
2/6/20,3,22112,2,11,1,12,0,6,23,12,0,22,0,0,0,16,5,0
2/7/20,3,24953,3,11,1,13,0,6,24,12,0,25,0,0,0,16,5,0
2/8/20,3,27100,3,11,1,13,0,11,24,16,0,25,0,0,0,17,7,0
2/9/20,3,29631,3,11,2,14,0,11,25,16,0,26,0,0,0,18,7,0
2/10/20,3,31728,3,11,2,14,0,11,27,18,0,26,0,0,0,18,8,0
2/11/20,3,33366,3,12,2,16,0,11,28,18,0,26,0,0,0,18,8,0
2/12/20,3,33366,3,12,2,16,0,11,28,18,0,28,0,0,0,18,8,0
2/13/20,3,48206,3,13,2,16,0,11,28,19,0,28,0,0,0,18,8,0
2/14/20,3,54406,3,13,2,16,0,11,28,19,0,29,0,0,0,18,8,0
2/15/20,3,56249,3,13,2,16,0,12,28,22,0,43,0,0,0,18,8,0
2/16/20,3,58182,3,13,2,16,0,12,29,22,0,59,0,0,0,20,9,0
2/17/20,3,59989,3,13,2,16,0,12,30,22,0,66,0,0,0,22,9,0
2/18/20,3,61682,3,13,2,16,0,12,31,22,0,74,0,0,0,22,9,0
2/19/20,3,62031,3,13,2,16,2,12,31,22,0,84,0,0,0,23,9,0
2/20/20,3,62442,3,13,2,16,5,12,104,22,0,94,0,0,0,24,9,0
2/21/20,3,62662,20,15,2,16,18,12,204,22,0,105,0,0,0,26,9,0
2/22/20,3,64084,62,15,2,16,28,12,433,22,0,122,0,0,0,26,13,0
2/23/20,3,64084,155,15,2,16,43,12,602,22,0,147,0,0,0,28,13,0
2/24/20,3,64287,229,51,2,16,61,12,833,22,0,159,0,0,0,30,13,0
2/25/20,3,64786,322,51,6,17,95,14,977,22,0,170,0,0,0,31,13,0
2/26/20,3,65187,453,57,13,27,139,18,1261,22,0,189,2,0,0,32,13,0
2/27/20,3,65596,655,58,15,46,245,38,1766,23,0,214,2,0,0,32,13,0
2/28/20,3,65914,888,60,32,48,388,57,2337,23,0,228,2,0,0,34,19,0
2/29/20,3,66337,1128,68,45,79,593,100,3150,25,1,241,4,0,0,39,21,1
3/1/20,3,66907,1694,74,84,130,978,130,3736,29,1,256,4,0,0,40,21,3
